E,eta_h,d_amp,q_amp,h_amp,return_time_mean,return_time_cv,crossing_ratio,m_bar,capbind_frac,phi_bar,mid_frac_proxy
1.4800000000,0.0024500000,0.9913243416,0.8407409653,0.0737126737,302.8845757404,0.0016480649,1.0000000000,0.2263288182,0.0061775032,0.3819216783,0.0005333096
1.4800000000,0.0039000000,0.9913243686,0.8407411771,0.0751828640,195.0183419648,0.0016978008,1.0000000000,0.2227009688,0.0092440336,0.3806591465,0.0006221946
1.4800000000,0.0053500000,0.9913243924,0.8407410636,0.0762547233,145.3290979038,0.0005447231,1.0000000000,0.2225409091,0.0125772188,0.3805174353,0.0009332919
1.4800000000,0.0068000000,0.9913244143,0.8407395037,0.0772609341,115.9947576746,0.0014171533,1.0000000000,0.2226778628,0.0158215190,0.3805001689,0.0007555220
1.4800000000,0.0082500000,0.9913244346,0.8407340474,0.0781419152,97.1443969367,0.0009279907,1.0000000000,0.2204541290,0.0191991467,0.3798632686,0.0011999467
1.4800000000,0.0097000000,0.9913244537,0.8407229752,0.0790233070,84.1999604169,0.0000003724,1.0000000000,0.2186312428,0.0224434470,0.3789538932,0.0023554509
1.4800000000,0.0111500000,0.9913244720,0.8407039703,0.0797377439,73.7931208306,0.0031927479,1.0000000000,0.2194798715,0.0247544554,0.3793429467,0.0014666015
1.4800000000,0.0126000000,0.9913244900,0.8406778561,0.0808697597,66.2776052866,0.0027784420,1.0000000000,0.2190996327,0.0276876583,0.3791212998,0.0017776988
1.4800000000,0.0140500000,0.9913245083,0.8406321623,0.0806609149,59.7457738293,0.0009655014,1.0000000000,0.2176329463,0.0306208613,0.3786881857,0.0018665837
1.4800000000,0.0155000000,0.9913245277,0.8405837780,0.0822946069,55.3325267808,0.0037198455,1.0000000000,0.2167760131,0.0333762944,0.3782381152,0.0024443358
1.4800000000,0.0169500000,0.9913245507,0.8405207862,0.0838611132,50.6271125569,0.0049076923,1.0000000000,0.2176687435,0.0364428248,0.3786163382,0.0021332385
